통계표명:,소비자물가상승률,,,,,,,
단위:,"전년비,전년동월비, %",,,,,,,
,물가상승률,,,,,,,
,소비자물가,,,,,,,
200001월,1.9,6.3,1.9,-3.3,5.9,0.2,1.1,3.6
200002월,1.8,4.4,1.8,-2.7,6.5,0.6,1.1,3.5
200003월,2.1,2.8,1.9,-2.2,6.2,1.8,1.5,4.0
200004월,1.4,-0.8,0.9,-1.6,6.6,2.2,1.6,2.8
200005월,1.1,-1.9,0.5,-1.0,5.0,2.2,1.5,1.8
200006월,2.2,2.2,1.6,-0.5,5.5,2.4,1.6,3.4
200007월,3.0,5.9,1.5,-0.2,6.5,2.5,2.0,4.6
200008월,2.4,0.5,1.9,0.4,7.6,2.5,2.1,3.8
200009월,3.5,6.7,2.2,0.8,9.3,2.5,2.5,5.4
200010월,2.6,1.8,1.4,1.3,9.0,2.6,2.3,3.9
200011월,2.2,-2.1,1.1,1.7,8.2,2.6,2.3,3.1
200012월,2.8,-2.3,2.4,2.2,9.1,2.6,2.9,4.2
200101월,3.4,-0.6,3.1,2.5,9.0,2.8,3.2,4.9
200102월,3.6,-0.4,3.4,2.4,8.9,3.0,3.2,4.9
200103월,4.0,4.1,3.1,2.7,8.5,3.1,3.3,5.2
200104월,4.8,8.2,4.2,3.3,8.0,3.2,3.6,6.4
200105월,5.3,8.5,4.3,3.6,10.5,3.2,4.1,7.1
200106월,5.0,9.8,3.2,4.3,10.0,3.1,4.1,6.9
200107월,4.8,9.7,3.3,4.6,8.3,3.0,3.8,6.3
200108월,4.7,11.9,2.5,4.7,7.2,3.2,3.7,6.0
200109월,3.3,3.0,1.8,4.8,5.7,3.2,3.5,3.4
200110월,3.4,5.5,1.3,5.0,5.4,3.2,3.6,3.6
200111월,3.4,7.2,1.3,5.3,4.5,3.2,3.7,3.7
200112월,3.2,9.5,0.0,5.7,3.7,3.4,3.6,3.0
200201월,2.6,8.3,-0.3,5.8,1.3,3.3,2.9,2.4
200202월,2.6,11.2,0.2,6.1,-1.2,3.2,3.0,2.4
200203월,2.3,5.8,0.5,6.1,-1.1,3.4,3.0,2.0
200204월,2.5,5.4,1.1,5.9,-1.3,3.5,3.0,2.2
200205월,3.0,9.2,1.4,6.1,-1.5,3.6,3.0,3.1
200206월,2.6,6.1,1.5,5.7,-2.1,3.7,2.9,2.3
200207월,2.1,2.0,1.3,5.7,-1.8,3.9,3.0,1.4
200208월,2.4,3.2,1.5,5.7,-1.9,3.9,2.8,1.8
200209월,3.1,8.6,1.9,5.8,-1.9,3.9,2.9,3.0
200210월,2.8,2.6,2.9,5.8,-1.8,3.9,3.0,2.2
200211월,3.5,6.0,3.6,5.4,-1.5,4.0,3.1,3.2
200212월,3.7,6.9,4.1,4.8,-0.8,3.9,3.1,3.7
200301월,3.8,6.8,4.2,4.6,-0.3,4.2,3.1,4.0
200302월,3.9,3.8,4.5,4.4,1.2,4.1,3.0,4.2
200303월,4.5,7.9,4.8,4.3,2.4,4.3,3.4,5.5
200304월,3.7,5.4,2.9,4.0,3.1,4.3,3.2,4.3
200305월,3.2,1.9,2.5,3.8,2.8,4.4,3.1,3.1
200306월,3.0,1.0,2.0,3.6,3.6,4.4,3.3,3.1
200307월,3.2,3.4,1.8,3.3,3.7,4.6,3.1,3.7
200308월,3.0,2.1,1.9,3.2,3.4,4.6,3.2,3.5
200309월,3.3,5.0,1.6,3.1,3.2,4.6,3.1,3.8
200310월,3.7,13.2,0.6,2.9,2.6,4.6,2.8,4.8
200311월,3.4,11.9,0.3,2.9,2.5,4.6,2.7,4.2
200312월,3.4,8.9,1.4,2.8,2.0,4.7,2.8,4.2
200401월,3.4,8.2,1.5,2.8,1.9,4.5,2.8,4.3
200402월,3.3,8.7,0.9,2.7,3.1,4.3,2.7,4.2
200403월,3.1,8.9,0.9,2.3,1.8,4.3,2.7,3.8
200404월,3.3,9.8,1.8,2.1,1.0,4.2,2.7,4.1
200405월,3.3,10.3,2.1,1.8,1.0,4.2,2.7,4.6
200406월,3.6,11.8,2.5,1.6,1.0,4.2,2.7,4.9
200407월,4.4,14.1,3.2,1.5,2.1,4.3,3.1,5.8
200408월,4.8,16.3,3.6,1.3,2.6,4.1,3.2,6.7
200409월,3.9,8.6,3.8,1.0,2.8,4.0,3.2,5.7
200410월,3.8,5.3,4.3,0.9,3.9,3.9,3.4,5.5
200411월,3.3,3.1,4.0,0.7,4.1,3.8,3.1,5.0
200412월,3.0,3.2,2.8,0.4,4.7,3.7,2.9,4.5
200501월,3.4,3.7,3.8,0.3,5.0,3.8,3.3,5.1
200502월,3.4,5.2,3.6,0.2,4.2,3.9,3.4,4.9
200503월,3.0,2.9,3.7,0.1,3.8,3.4,2.8,4.3
200504월,3.1,4.2,4.0,-0.1,3.3,3.3,2.7,4.7
200505월,3.1,4.0,3.7,-0.2,3.6,3.2,2.6,4.6
200506월,2.8,1.8,3.4,-0.4,3.6,3.0,2.3,4.2
200507월,2.6,1.7,3.6,-0.5,3.0,2.7,2.1,4.0
200508월,2.0,-2.7,3.5,-0.5,2.8,2.9,1.9,2.8
200509월,2.5,0.8,3.9,-0.6,2.8,3.0,1.8,3.5
200510월,2.3,0.4,3.6,-0.4,2.1,2.9,1.7,3.3
200511월,2.5,-0.9,3.7,-0.4,2.5,3.0,1.9,3.5
200512월,2.6,1.9,3.9,-0.3,1.7,2.9,1.8,3.9
200601월,2.2,2.4,2.5,-0.3,2.2,2.7,1.3,3.4
200602월,2.0,-1.2,2.4,-0.2,2.6,2.9,1.3,3.1
200603월,2.0,-1.6,2.0,-0.1,2.6,3.0,1.4,2.8
200604월,2.0,-2.7,2.1,0.0,3.4,3.0,1.5,2.9
200605월,2.3,-2.4,3.0,0.2,3.2,3.1,1.8,3.1
200606월,2.4,-1.0,2.8,0.3,3.2,3.3,1.9,3.4
200607월,2.4,-2.3,2.8,0.4,3.6,3.3,2.1,3.2
200608월,2.7,3.2,2.6,0.5,3.6,3.1,2.1,3.8
200609월,2.5,1.3,1.7,0.7,4.8,2.9,2.0,3.5
200610월,2.2,0.1,0.8,0.9,4.8,3.0,2.0,2.7
200611월,2.1,1.6,0.8,1.1,3.8,2.9,2.1,2.6
200612월,2.1,1.4,0.7,1.3,3.9,2.9,2.1,2.6
200701월,1.7,-0.8,0.5,1.5,2.9,2.9,2.1,1.9
200702월,2.2,3.4,0.6,1.6,2.6,3.1,2.3,2.4
200703월,2.2,1.6,1.1,1.7,2.6,3.3,2.4,2.5
200704월,2.5,1.7,1.6,1.8,3.2,3.1,2.6,2.9
200705월,2.3,1.8,1.1,1.8,3.6,3.1,2.2,3.1
200706월,2.5,2.4,1.6,1.9,3.5,3.0,2.3,3.2
200707월,2.5,3.5,1.4,1.9,3.1,3.1,2.3,3.3
200708월,2.0,-2.6,1.4,2.0,3.1,3.2,2.3,2.4
200709월,2.3,0.7,1.8,2.0,2.6,3.2,2.3,2.7
200710월,3.0,4.4,2.8,1.8,2.6,3.3,2.4,3.9
200711월,3.5,4.5,4.1,1.9,3.4,3.2,2.4,4.9
200712월,3.6,2.6,4.8,1.9,3.3,3.3,2.4,4.8
200801월,3.9,1.9,5.7,1.9,3.0,3.6,2.8,5.1
200802월,3.6,-0.6,5.6,1.9,3.3,3.5,2.8,4.6
200803월,3.9,-1.3,6.3,2.0,3.3,3.9,3.3,4.9
200804월,4.1,-0.2,6.7,2.1,3.0,4.1,3.5,5.1
200805월,4.9,1.2,8.5,2.2,2.5,4.4,3.9,5.9
200806월,5.5,1.3,10.5,2.4,2.5,4.8,4.3,7.0
200807월,5.9,1.4,11.4,2.4,2.2,5.0,4.6,7.1
200808월,5.6,3.5,9.7,2.4,2.3,5.2,4.7,6.6
200809월,5.1,-0.9,9.3,2.4,1.6,5.3,5.1,5.5
200810월,4.8,-3.3,9.1,2.6,1.8,5.4,5.2,4.8
200811월,4.5,0.8,6.3,2.5,2.1,5.5,5.3,4.0
200812월,4.1,2.5,4.9,2.4,1.8,5.4,5.6,3.0
200901월,3.7,5.9,3.3,2.3,2.2,4.8,5.2,2.8
200902월,4.1,5.4,5.0,2.1,1.8,4.4,5.2,3.3
200903월,3.9,10.1,4.7,1.9,1.8,3.2,4.5,3.1
200904월,3.6,12.2,3.4,1.7,1.6,3.2,4.2,3.0
200905월,2.7,10.8,1.4,1.7,1.6,2.9,3.9,1.8
200906월,2.0,6.6,0.3,1.4,1.7,2.6,3.5,0.5
200907월,1.6,5.7,-0.3,1.3,2.3,2.3,3.2,0.3
200908월,2.2,4.9,1.4,1.3,2.4,2.2,3.1,1.3
200909월,2.2,4.4,1.8,1.3,2.4,2.1,2.7,1.7
200910월,2.0,5.5,1.1,1.1,2.3,2.0,2.6,1.5
200911월,2.4,2.8,3.7,1.1,1.5,2.0,2.5,2.3
200912월,2.8,3.4,4.6,1.2,1.8,2.0,2.2,3.3
201001월,3.5,3.4,6.1,1.3,2.0,2.2,2.3,4.2
201002월,3.0,5.2,4.1,1.5,2.1,2.5,2.1,3.8
201003월,2.5,4.3,3.4,1.6,1.7,1.9,1.6,3.0
201004월,2.6,4.6,3.8,1.7,1.5,1.9,1.6,2.9
201005월,2.7,4.7,3.8,1.7,1.6,2.1,1.6,3.1
201006월,2.7,7.2,2.9,1.9,1.4,2.0,1.6,2.9
201007월,2.5,7.1,2.7,2.0,0.8,2.2,1.7,2.7
201008월,2.7,10.0,2.5,1.9,0.8,2.3,1.8,2.8
201009월,3.4,20.3,2.0,2.0,0.8,2.3,1.8,3.9
201010월,3.7,21.6,2.7,2.2,0.7,2.3,1.7,4.4
201011월,3.0,18.0,1.6,2.3,0.7,2.4,1.5,3.4
201012월,3.0,14.8,2.6,2.4,0.6,2.2,1.7,3.5
201101월,3.4,16.3,3.0,2.5,0.4,2.7,2.1,4.1
201102월,3.9,17.1,3.7,2.6,0.3,3.1,2.6,4.6
201103월,4.1,14.6,4.5,3.1,-0.4,3.8,3.0,4.7
201104월,3.8,9.5,4.3,3.4,-0.4,3.9,3.0,4.1
201105월,3.9,7.2,4.8,3.7,-0.4,3.9,3.2,4.0
201106월,4.2,10.7,4.9,4.0,-0.4,4.0,3.5,4.5
201107월,4.5,12.4,5.3,4.1,-0.2,3.9,3.6,4.9
201108월,4.7,13.3,5.4,4.4,-0.2,3.9,3.5,5.2
201109월,3.8,3.4,5.7,4.6,-0.9,3.9,3.3,3.8
201110월,3.6,-0.9,5.7,4.9,-1.0,4.0,3.2,3.6
201111월,4.2,3.4,6.4,5.1,-1.2,3.7,3.5,4.5
201112월,4.2,5.8,5.3,5.0,-0.8,3.8,3.6,4.4
201201월,3.4,3.8,4.5,5.1,-0.6,3.1,3.1,3.1
201202월,3.0,0.1,4.7,5.0,-0.5,2.6,2.5,2.6
201203월,2.7,2.9,4.1,4.9,0.7,0.8,1.9,2.1
201204월,2.6,4.0,3.9,4.8,0.6,0.7,1.7,2.1
201205월,2.5,7.0,3.5,4.6,0.6,0.6,1.6,2.2
201206월,2.2,5.1,3.0,4.3,0.8,0.6,1.5,1.8
201207월,1.5,1.1,1.3,4.2,0.3,0.7,1.2,0.8
201208월,1.3,-1.8,1.6,4.0,0.3,0.8,1.2,0.6
201209월,2.1,4.7,2.4,3.8,1.0,0.6,1.5,1.8
201210월,2.1,6.2,2.2,3.5,1.1,0.7,1.6,1.7
201211월,1.6,3.2,1.5,3.3,1.3,0.8,1.4,1.0
201212월,1.4,2.0,1.3,3.2,1.0,0.8,1.1,0.8
201301월,1.6,2.6,1.1,3.1,1.0,1.3,1.3,1.1
201302월,1.6,4.1,0.7,3.0,1.0,1.4,1.4,1.2
201303월,1.5,-0.1,0.7,2.8,0.8,1.9,1.6,1.0
201304월,1.3,0.9,0.1,2.7,0.8,1.9,1.6,0.9
201305월,1.2,-0.8,-0.1,2.6,0.9,1.9,1.7,0.5
201306월,1.2,-1.8,0.5,2.6,0.7,1.8,1.6,0.6
201307월,1.6,0.9,1.6,2.5,0.4,1.7,1.7,1.1
201308월,1.5,3.1,0.8,2.6,0.4,1.7,1.5,1.1
201309월,1.0,-3.4,0.9,2.6,0.4,1.6,1.7,0.2
201310월,0.9,-5.2,1.1,2.6,0.5,1.4,1.8,0.0
201311월,1.2,-3.6,1.6,2.5,0.6,1.4,2.0,0.5
201312월,1.1,-4.2,1.6,2.5,0.7,1.2,1.9,0.5
201401월,1.1,-5.6,1.7,2.4,0.7,1.2,1.7,0.6
201402월,1.0,-5.4,1.7,2.5,0.7,0.9,1.7,0.4
201403월,1.3,-3.1,1.6,2.5,0.6,1.6,2.1,0.8
201404월,1.5,-3.5,2.0,2.5,0.7,1.8,2.3,1.0
201405월,1.7,-2.0,2.2,2.4,0.7,1.8,2.2,1.4
201406월,1.7,-1.0,1.9,2.4,0.7,1.8,2.1,1.4
201407월,1.6,-2.2,1.9,2.3,1.1,1.8,2.2,1.4
201408월,1.4,-4.8,2.1,2.2,0.8,1.9,2.4,0.8
201409월,1.1,-3.0,0.9,2.2,0.9,1.9,1.9,0.6
201410월,1.1,-1.9,0.6,2.2,0.8,1.9,1.8,0.7
201411월,1.0,-0.1,-0.1,2.2,0.8,1.8,1.6,0.7
201412월,0.8,1.0,-0.6,2.2,0.6,1.8,1.6,0.3
201501월,1.0,1.7,0.2,2.7,0.5,1.9,2.6,-0.3
201502월,0.6,1.8,-0.8,2.6,0.4,1.9,2.4,-0.6
201503월,0.5,-0.1,-0.4,2.5,0.6,1.9,2.2,-0.6
201504월,0.4,0.2,-0.5,2.4,0.7,1.9,2.1,-0.7
201505월,0.6,2.7,-0.3,2.5,0.7,1.8,2.1,-0.5
201506월,0.7,3.6,0.0,2.5,0.7,1.8,2.0,-0.1
201507월,0.7,3.0,-0.1,2.6,1.7,1.9,2.1,-0.1
201508월,0.7,2.7,-0.1,2.6,2.0,1.8,2.1,-0.1
201509월,0.5,1.3,-0.5,2.6,1.8,1.8,2.0,-0.3
201510월,0.8,3.0,-0.4,2.5,1.8,2.0,2.2,0.1
201511월,0.8,1.3,-0.1,2.5,1.8,2.0,2.2,0.1
201512월,1.1,2.7,0.3,2.5,1.9,2.2,2.3,0.5
201601월,0.6,1.5,-1.1,2.0,2.0,2.5,1.6,0.4
201602월,1.1,5.0,-0.7,2.0,2.1,2.7,1.7,1.0
201603월,0.8,4.6,-1.4,2.0,1.9,2.7,1.7,0.5
201604월,1.0,4.3,-0.7,1.9,1.9,2.5,1.9,0.6
201605월,0.8,0.6,-0.9,1.9,1.9,2.8,0.4,1.8
201606월,0.7,-1.4,-0.6,1.9,1.9,2.8,1.8,0.3
201607월,0.4,-0.3,-0.8,1.8,1.0,2.8,1.3,0.3
201608월,0.5,0.5,-0.7,1.8,1.0,2.9,1.3,-0.2
201609월,1.3,9.1,0.0,1.8,1.0,2.9,1.5,1.0
201610월,1.5,7.7,0.4,1.7,0.9,2.7,1.8,1.4
201611월,1.5,8.0,0.2,1.7,0.9,2.7,1.6,1.6
201612월,1.3,6.7,0.6,1.7,0.9,2.7,1.2,1.2
201701월,2.2,10.4,1.6,1.7,1.1,2.9,1.6,2.6
201702월,2.1,5.7,2.4,1.8,1.1,2.7,1.6,2.5
201703월,2.3,6.6,2.3,1.8,1.0,2.7,1.5,2.9
201704월,2.0,4.8,1.5,1.8,1.1,2.9,1.4,2.4
201705월,2.0,6.4,1.4,1.8,1.1,2.4,1.4,2.5
201706월,1.8,7.2,0.9,1.8,1.0,2.2,1.3,2.3
201707월,2.2,7.0,0.7,1.7,1.0,2.5,1.8,3.0
201708월,2.5,10.7,1.0,1.6,1.0,2.4,1.8,3.5
201709월,2.0,4.1,1.2,1.5,1.0,2.3,1.6,2.8
201710월,1.8,2.9,1.4,1.4,0.9,2.7,1.3,2.0
201711월,1.2,0.2,1.4,1.4,0.7,2.3,1.1,1.3
201712월,1.4,0.7,1.3,1.2,0.7,2.3,1.4,1.6
201801월,0.8,-1.8,0.8,1.1,0.5,1.7,0.9,0.7
201802월,1.3,2.8,0.6,1.0,0.4,2.3,1.1,1.3
201803월,1.2,1.2,0.8,0.9,0.4,2.6,1.3,1.1
201804월,1.5,3.5,1.3,0.8,0.3,2.6,1.4,1.5
201805월,1.5,1.7,1.5,0.6,0.2,2.8,1.3,1.5
201806월,1.5,0.9,1.6,0.6,0.3,2.8,1.2,1.5
201807월,1.1,1.2,1.8,0.5,0.1,2.4,0.8,1.1
201808월,1.4,4.6,1.8,0.5,0.0,2.5,0.9,1.5
201809월,2.1,8.6,1.8,0.4,0.0,2.7,1.3,2.5
201810월,2.0,8.5,1.8,0.4,0.1,2.5,1.2,2.6
201811월,2.0,7.6,1.4,0.3,0.2,2.8,1.4,2.3
201812월,1.3,5.2,0.1,0.3,0.1,2.5,1.3,1.3
201901월,0.8,2.5,-0.7,0.2,-0.3,2.5,1.2,0.4
201902월,0.5,-1.4,-0.8,0.1,-0.3,2.5,1.3,0.0
201903월,0.4,-0.3,-0.7,0.1,-0.3,2.0,0.9,0.0
201904월,0.6,0.7,-0.1,0.0,-0.3,1.7,0.9,0.4
201905월,0.7,1.2,0.3,-0.1,-0.2,1.6,0.8,0.8
201906월,0.7,1.8,0.0,-0.2,-0.2,1.9,0.9,0.8
201907월,0.6,-0.3,0.0,-0.2,-0.1,1.9,1.0,0.4
201908월,0.0,-7.3,-0.2,-0.2,0.0,1.8,0.9,-0.4
201909월,-0.4,-8.2,-0.2,-0.2,-1.2,1.5,0.6,-0.9
201910월,0.0,-3.8,-0.3,-0.2,-1.0,1.7,0.8,-0.3
201911월,0.2,-2.7,-0.2,-0.2,-0.9,1.6,0.6,0.2
201912월,0.7,-0.8,1.1,-0.2,-0.9,1.6,0.7,1.1
202001월,1.2,1.3,2.3,-0.1,-1.6,1.7,0.7,1.7
202002월,0.9,-0.7,2.2,-0.1,-1.6,1.1,0.5,1.2
202003월,0.8,3.3,1.3,0.1,-0.5,0.5,0.5,1.4
202004월,0.0,1.0,-0.5,0.0,-1.6,1.0,0.3,0.2
202005월,-0.2,3.6,-1.8,0.1,-1.8,1.0,0.6,-0.5
202006월,0.2,6.1,-1.2,0.2,-1.8,1.1,0.8,0.1
202007월,0.4,8.8,-0.5,0.2,-1.8,1.0,0.7,0.3
202008월,0.8,12.3,-0.5,0.3,-1.7,1.1,0.8,0.7
202009월,0.9,12.8,-0.8,0.4,-0.7,1.2,0.9,1.0
202010월,0.1,12.5,-1.1,0.5,-6.0,1.3,0.2,-0.7
202011월,0.6,10.5,-1.0,0.6,-1.4,1.4,1.1,0.0
202012월,0.6,8.9,-1.0,0.6,-1.0,1.5,1.1,0.0
202101월,0.9,10.5,-0.8,0.7,0.0,1.6,1.2,0.8
202102월,1.4,16.1,-0.8,0.8,0.1,1.7,1.2,1.7
202103월,1.9,13.3,0.5,1.0,0.3,2.2,1.4,2.1
202104월,2.5,13.2,2.0,1.1,0.4,2.4,1.6,3.1
202105월,2.6,11.3,2.6,1.3,0.5,2.6,1.5,3.4
202106월,2.3,9.5,2.2,1.3,0.6,2.5,1.5,3.0
202107월,2.6,8.5,2.4,1.4,0.6,2.7,1.8,3.5
202108월,2.6,5.6,2.9,1.5,0.5,2.8,1.9,3.3
202109월,2.4,3.1,3.0,1.7,0.7,2.7,2.0,3.1
202110월,3.2,0.5,3.8,1.7,6.1,2.7,2.8,4.6
202111월,3.8,7.6,5.2,1.9,1.2,3.0,2.4,5.2
202112월,3.7,7.8,4.7,2.0,0.9,3.4,2.7,4.6
202201월,3.8,6.6,4.5,2.1,1.0,3.9,3.0,4.3
202202월,3.8,1.8,5.4,2.1,0.9,4.2,3.3,4.3
202203월,4.2,0.7,7.0,2.0,0.5,4.3,3.3,5.1
202204월,4.8,2.0,7.7,2.0,0.6,4.5,3.6,5.8
202205월,5.3,4.0,8.2,2.0,0.7,5.1,4.0,6.6
202206월,6.0,4.7,9.3,1.9,0.8,5.8,4.4,7.3
202207월,6.3,6.9,8.8,1.9,0.9,6.1,4.5,7.8
202208월,5.7,6.8,6.9,1.9,0.9,6.3,4.5,6.7
202209월,5.5,5.9,6.6,1.8,0.7,6.3,4.5,6.3
202210월,5.6,5.1,6.3,1.7,0.8,6.3,4.7,6.4
202211월,5.0,0.3,5.8,1.6,0.8,6.2,4.8,5.5
202212월,5.0,0.4,6.0,1.4,0.8,6.0,4.7,5.7
202301월,5.0,0.8,5.6,1.3,0.7,5.8,4.8,5.8
202302월,4.7,0.9,4.8,1.1,0.8,5.7,4.7,5.3
202303월,4.2,2.8,2.8,0.9,1.1,5.7,4.7,4.3
202304월,3.7,1.0,2.1,0.8,0.9,5.9,4.5,3.7
202305월,3.4,0.0,1.9,0.6,0.8,5.5,4.3,3.3
202306월,2.7,0.6,0.3,0.5,0.8,4.8,4.0,2.5
202307월,2.4,0.1,0.1,0.3,1.0,4.4,3.8,2.0
202308월,3.4,3.2,2.6,0.2,1.5,4.1,3.7,3.9
202309월,3.7,4.4,3.4,0.1,1.6,4.1,3.7,4.4
202310월,3.8,8.0,3.6,0.0,2.0,4.1,3.5,4.5
202311월,3.3,7.2,2.5,0.0,2.1,4.0,3.2,3.9
202312월,3.2,7.7,2.1,-0.1,1.9,3.9,3.1,3.7
202401월,2.8,8.0,1.8,-0.2,2.2,3.5,2.6,3.4
202402월,3.1,11.4,2.1,-0.1,2.0,3.4,2.6,3.7
202403월,3.1,11.7,2.2,0.0,2.0,3.1,2.4,3.8
202404월,2.9,10.6,2.2,0.0,2.2,2.8,2.3,3.5
202405월,2.7,8.7,2.1,0.1,2.2,2.8,2.2,3.1
202406월,2.4,6.5,2.1,0.3,2.2,2.7,2.2,2.8
202407월,2.6,5.5,2.6,0.4,1.9,2.9,2.2,3.0
202408월,2.0,2.4,1.4,0.4,1.4,3.0,2.1,2.1
202409월,1.6,2.3,0.3,0.5,1.3,2.9,2.0,1.5
202410월,1.3,1.2,-0.3,0.5,0.9,2.9,1.8,1.2
202411월,1.5,1.0,0.6,0.5,0.9,2.9,1.9,1.6
202412월,1.9,2.6,1.4,0.6,1.0,2.9,1.8,2.2
202501월,2.2,1.9,2.2,0.6,0.8,3.2,1.9,2.5
출처:,통계청「소비자물가지수」,,,,,,,
주석:,2020년을 100으로 458개 조사항목을 가중평균하여 매월 지수를 산출 발표,,,,,,,
